sample_index,P,K,Mg,pH
0,45.1,188.0,179.0,7.2
1,44.8,205.0,188.0,7.0
2,44.4,207.0,145.0,6.8
3,46.5,204.0,143.0,6.8
4,52.0,212.0,167.0,6.7
5,50.1,206.0,184.0,6.8
6,66.5,194.0,150.0,7.0
7,67.4,199.0,149.0,7.1
8,76.2,202.0,151.0,7.1
9,74.3,219.0,164.0,7.2
10,74.3,215.0,142.0,7.2
11,57.5,185.0,123.0,7.2
12,47.5,212.0,182.0,6.7
13,44.5,204.0,176.0,6.7
14,54.6,237.0,170.0,6.7
15,47.9,221.0,163.0,6.8
16,70.4,235.0,153.0,7.0
17,69.1,228.0,130.0,7.3
18,74.8,239.0,140.0,7.4
19,69.5,239.0,138.0,7.4
20,70.5,232.0,138.0,7.3
21,62.8,207.0,147.0,7.1
22,62.5,213.0,143.0,7.1
23,72.9,262.0,178.0,6.9
24,61.9,209.0,153.0,7.2
25,70.3,194.0,128.0,7.2
26,80.5,205.0,129.0,7.4
27,86.8,215.0,132.0,7.4
28,78.0,202.0,141.0,7.3
29,66.9,176.0,115.0,7.3
30,63.5,201.0,121.0,7.4
31,79.2,190.0,116.0,7.2
32,66.1,195.0,134.0,7.2
33,77.8,227.0,136.0,7.3
34,74.5,209.0,130.0,7.4
35,78.5,234.0,152.0,7.4
36,103.0,246.0,154.0,7.4
37,98.6,251.0,162.0,7.4
38,101.0,285.0,186.0,7.3
39,66.5,216.0,114.0,6.9
40,68.6,204.0,114.0,7.3
41,79.7,217.0,131.0,7.2
42,76.0,243.0,155.0,7.1
43,123.0,255.0,175.0,7.3
44,85.1,197.0,212.0,7.2
45,60.0,239.0,153.0,7.0
46,105.0,226.0,124.0,7.0
47,86.3,229.0,134.0,7.0
48,64.1,231.0,130.0,7.2
49,83.8,220.0,124.0,7.0
50,58.3,253.0,123.0,7.0
51,91.3,240.0,148.0,7.2
52,58.7,237.0,186.0,7.1
53,82.0,215.0,147.0,7.1
