band_no,wavelength
1,462.08
2,465.27
3,468.47
4,471.67
5,474.86
6,478.06
7,481.26
8,484.45
9,487.65
10,490.85
11,494.04
12,497.24
13,500.43
14,503.63
15,506.83
16,510.03
17,513.22
18,516.42
19,519.61
20,522.81
21,526.01
22,529.2
23,532.4
24,535.6
25,538.79
26,541.99
27,545.19
28,548.38
29,551.58
30,554.78
31,557.97
32,561.17
33,564.37
34,567.56
35,570.76
36,573.96
37,577.15
38,580.35
39,583.55
40,586.74
41,589.94
42,593.14
43,596.33
44,599.53
45,602.73
46,605.92
47,609.12
48,612.32
49,615.51
50,618.71
51,621.91
52,625.1
53,628.3
54,631.5
55,634.69
56,637.89
57,641.09
58,644.28
59,647.48
60,650.67
61,653.87
62,657.07
63,660.27
64,663.46
65,666.66
66,669.85
67,673.05
68,676.25
69,679.45
70,682.64
71,685.84
72,689.03
73,692.23
74,695.43
75,698.62
76,701.82
77,705.02
78,708.21
79,711.41
80,714.61
81,717.8
82,721.0
83,724.2
84,727.39
85,730.59
86,733.79
87,736.98
88,740.18
89,743.38
90,746.57
91,749.77
92,752.97
93,756.16
94,759.36
95,762.56
96,765.75
97,768.95
98,772.15
99,775.34
100,778.54
101,781.74
102,784.93
103,788.13
104,791.33
105,794.52
106,797.72
107,800.92
108,804.11
109,807.31
110,810.51
111,813.7
112,816.9
113,820.1
114,823.29
115,826.49
116,829.68
117,832.88
118,836.08
119,839.28
120,842.47
121,845.67
122,848.86
123,852.06
124,855.26
125,858.46
126,861.65
127,864.85
128,868.04
129,871.24
130,874.44
131,877.63
132,880.83
133,884.03
134,887.22
135,890.42
136,893.62
137,896.81
138,900.01
139,903.21
140,906.4
141,909.6
142,912.8
143,915.99
144,919.19
145,922.39
146,925.58
147,928.78
148,931.98
149,935.17
150,938.37
